ant,            ants
apple,          apples
aunt,           aunts
avocado,        avocados
banana,         bananas
barracuda,      barracudas
bat,            bats
bear,           bears
beetle,         beetles
bengal tiger,   bengal tigers
bunny,          bunnys
cat,            cats
caterpillar,    caterpillars
cherry,         cherries
cucumber,       cucumbers
dad,            dads
dingo,          dingos
dog,            dogs
dragon-fruit,   dragon-fruit
dragonfly,      dragonflies
eggplant,       eggplants
elephant,       elephants
fig,            figs
fish,           fishs
frog,           frogs
gecko,          geckos
gorilla,        gorillas
grapefruit,     grapefruit
grasshopper,    grasshoppers
grizzly,        grizzlies
hippopotamus,   hippopotamus
honeydew,       honeydews
impala,         impalas
ita-palm,       ita-palms
jackfruit,      jackfruit
jellyfish,      jellyfishs
kitty,          kitties
kiwi,           kiwis
kiwi,           kiwis
kumquat,        kumquats
lime,           limes
lion,           lions
lizzard,        lizzards
mango,          mangos
melon,          melons
mouse,          mice
nectarine,      nectarines
newt,           newts
nightingale,    nightingales
nurse shark,    nurse sharks
ocelot,         ocelots
octopus,        octopus
orange,         oranges
parrot,         parrots
pear,           pears
penguin,        penguins
puffer fish,    puffer fish
quince,         quinces
quokka,         quokkas
rabbit,         rabbits
raspberry,      raspberries
red panda,      red pandas
rhino,          rhinos
rhubarb,        rhubarbs
rock hyrax,     rock hyraxes
scorpion,       scorpions
sea otter,      sea otters
sea urchin,     sea urchins
seahorse,       seahorses
sealion,        sealions
shark,          sharks
sheep,          sheep
silver dollar,  silver dollars
skunk,          skunks
sparrow,        sparrows
spider monkey,  spider monkeys
spider,         spiders
sponge,         sponges
squirrel,       squirrels
starfruit,      starfruit
strawberry,     strawberries
sun bear,       sun bears
tamarind,       tamarinds
tarsier,        tarsiers
teddy,          teddies
tropicbird,     tropicbirds
turtle,         turtles
uglo,           uglos
urchin,         urchins
wallaby,        wallabies
watermelon,     watermelons
weasel,         weasels
wildebeest,     wildbeasts
xylocarpa,      xylocarpas
yak,            yaks
yantel,         yantels
zebra,          zebras
zebu,           zebus
zorse,          zorses
zucchini,       zucchinis
